id,nome,preco,codigo,por_peso,codigo_id,vendido
631,"PICOLE TOC MILK LTE COND.",3,7898095311391,0,90792,1
632,"PICOLE TOC TUM TUM",2,7898095319212,0,90801,1
633,"PIPOCA ARITANA BACON",2,7897291110432,0,13,1
634,"PIPOCA ARITANA PRESUNTO",2,7897291110746,0,66,1
635,"PIPOCA ARITANA TRIO MAX",4,7897291111439,0,90742,1
636,"PIPOCA ARITANA XIPAO BACON",4,7897291111477,0,90808,1
637,"PIPOCA FLINCKITOS BACON FD",2,7890000907415,0,90741,1
638,"PIPOCA FLINCKITOS CHURRASCO FD",2,7896286809962,0,90740,1
639,"PIPOCA GOURMET NINHO",5,7890000908092,0,90809,1
640,"PIPOCA GULAO CEBOLA E SALSA",4,7890000000550,0,55,1
641,"PIPOCA GULAO CHURRASCO 120G",4,7896565005603,0,95,1
642,"PIPOCA GULAO PRESUNTO 120G",4,7890000000932,0,93,1
643,"PIPOCA GULAO QUEIJO SUICO 120G",4,7896565005214,0,94,1
644,"PIPOCA GULAO REQUEIJAO 120G",4,7896565005078,0,96,1
645,"PIRULITO DIP LOKO BOOOM BERRIES",2,7890000001007,0,100,1
646,"PIRULITO DIP LOKO BOOOM SALADA DE FRUTA",2,7898934595562,0,60,1
647,"PIRULITO DIP LOKO BOOOM UVA",2,7890000001014,0,101,1
648,"PIRULITO DIPLOKO NEON MONSTER",2,7898963171928,0,62,1
649,"PIRULITO POP MANIA CEREJA",0,7890000000468,0,46,1
650,"PIRULITO POP MANIA FRUTAS TROPIC 600 GR",0,7890000005623,0,562,1
651,"PIRULITO POP MANIA MAXXI ENERGY",1,7890000000611,0,61,1
652,"PIRULITO POP MANIA MAXXI FRAMBOESA",1,7890000000970,0,97,1
653,"PIRULITO POP MANIA MAXXI MORANGO",1,7890000000987,0,98,1
654,"PIRULITO POP MANIA MORANGO",0,7890000000994,0,99,1
655,"PIZZA BROTINHO ASSADA",8,7890000908436,0,90843,1
656,"PIZZA BROTINHO CRUA",7,7890000908443,0,90844,1
657,"PIZZA INTEIRA ASSADA",49,7890000004800,0,480,1
658,"PIZZA INTEIRA CRU",44,7890000004268,0,426,1
659,"PIZZA PEDACO UNID.",7,7890000003124,0,312,1
667,"POTE SORVETE 200 FLOCOS",5,7898095310158,0,90797,1
668,"POWERADE LARANJA PET 500ML 06",6,7890000007412,0,741,1
669,"POWERADE LARANJA PET 500ML 06 1",6,7890000006637,0,663,1
670,"POWERADE LIMAO PET 500ML",6,7894900500035,0,639,1
671,"POWERADE MOUNTAIN BLAST 500 ML",6,7894900504002,0,332,1
672,"POWERADE UVA S.CAP 500 ML",6,7894900501001,0,331,1
675,"PRESTIGIO UNID.",3,7890000003780,0,378,1
676,"PROMOCAO COXINHA DE CATUPIRY + REFRESCO",5,7890000907460,0,90746,1
677,"PUDIM UNIDADE",24,7890000003940,0,394,1
680,QUEBRADOR,39,7890000908511,1,90851,1
699,"REFRESCO COPO 300 ML",1,7890000003872,0,387,1
704,"REFRIG 200ML CACULA GUAR ANTARCTICA PET",0,7890000006941,0,694,1
705,"REFRIG 200ML CACULA GUAR ANTARCTICA PET1",0,7890000006934,0,693,1
707,"ROCAMBOLE FATIA",5,7890000003971,0,397,1
708,"ROSCA COM CREME",7,7890000004633,0,463,1
709,"ROSCA DE FORMA COM GOTAS",12,7890000908498,0,90849,1
710,"ROSCA DE QUEIJO",8,7890000908504,0,90850,1
711,"ROSCA DOCE",7,7890000004480,0,448,1
712,"ROSCA MINERAO",11,7890000908481,0,90848,1
713,"ROSCA PAO DE MILHO",5,7890000004671,0,467,1
714,"ROSQUINHA DA VOVO",3,7890000907613,0,90761,1
715,"ROSQUINHA DE CREME DE LEITE VOVOZINHA",8,7890000006002,0,600,1
716,"ROSQUINHA DE GOIABINHA VOVOZINHA",8,7899563201237,0,598,1
717,"ROSQUINHA DE LIMAO E LARANJA",2,7898571140552,0,90737,1
718,"ROSQUINHA DE NATA VOVOZINHA",8,7890000005999,0,599,1
719,"ROSQUINHA QUEBRA QUEBRA VOVOZINHA",8,7895876326124,0,90738,1
720,"ROSQUINHA TENTACAO TESOURO DE MINAS",9,7898245010532,0,596,1
724,"SACHET MAIONESE BONAPETITE 680/6 GR",0,7890000002141,0,214,1
725,"SACHET MOLHO PIMENTA PREDILECTA 144/3 ML",0,7890000002127,0,212,1
730,"SALGADOS VARIADOS",42,7890000907743,1,90774,1
731,"SALGADOS VARIADOS BANDENJA CRU",16,7890000004770,0,477,1
732,"SALPICAO MARMITA GRANDE",13,7890000907590,0,90759,1
737,SANDUICHE,16,7890000007443,0,744,1
738,"SANDUICHE NATURAL",7,7890000004008,0,400,1
745,"SCHW CITRUS ORIGINAL LT 350ML 6U FI",5,7894900180503,0,322,1
746,"SCHW TONICA LT 350ML",5,7894900300017,0,321,1
747,"SEQ. PALITO COB.CHOC. G.ADORADOS",39,7890000005029,1,502,1
748,"SEQ. PALITO COB.CHOC. G.ADORADOS 4KG",0,7890000004978,0,497,1
749,"SEQ.CHOCONATA RECHEADO DMARIA",39,7890000005005,0,500,1
750,"SEQ.CHOCONATA RECHEADO DMARIA 4KG",0,7890000004992,0,499,1
751,"SEQ.ROSCA NATA DMARIA",39,7890000005012,0,501,1
752,"SEQ.ROSCA NATA DMARIA 3KG",0,7890000004985,0,498,1
753,"SPRITE FRESH LIMAO 510ML",5,7894900680508,0,462,1
754,"SPRITE ORIGINAL 600ML",7,7894900681246,0,339,1
755,"SPRITE ORIGINAL LT350ML",5,7894900681017,0,320,1
756,"SPRITE ORIGINAL PET 2L",12,7894900681000,0,575,1
757,"SUCO CONCENTRADO SABORES VARIADOS",10,7890000908269,0,90826,1
758,"SUCO FRESH ABACAXI",2,7622210570031,0,90820,1
759,"SUCO FRESH GUARANA",2,7622210569882,0,90821,1
760,"SUCO FRESH LARANJA",2,7622210569790,0,90735,1
761,"SUCO FRESH MANGA",2,7622210570000,0,90822,1
762,"SUCO FRESH UVA",2,7622210569943,0,90736,1
763,"SUCO NATURAL DE ABACAXI",5,7890000004084,0,408,1
764,"SUCO NATURAL DE LARANJA",5,7890000004091,0,409,1
765,"SUCO NATURAL DE LARANJA 1 LT",22,7890000908238,0,90823,1
766,"SUCO NATURAL DE MARACUJA",5,7890000004077,0,407,1
767,"SUCO NATURAL DE MORANGO",5,7890000004060,0,406,1
768,"SUCO TIAL 1L MARACUJA",8,7890000006958,0,695,1
769,"SUCO TIAL GOIABA 1L",8,7896005302019,0,90831,1
770,"SUCO TIAL GOIABA 330 ML",3,7896005310120,0,90755,1
771,"SUCO TIAL LARANJA 330 ML",3,7896005310649,0,90754,1
772,"SUCO TIAL NECTAR 1 LT LARANJA",8,7896005302064,0,649,1
773,"SUCO TIAL NECTAR 1 LT UVA",8,7896005302088,0,648,1
774,"SUCO TIAL UVA 330 ML",3,7896005310090,0,90756,1
775,SUSPIRO,42,7890000005944,0,594,1
778,"TAXA DE ENTREGA",10,7890000004848,0,484,1
779,"TAXA DE ENTREGA R 5,00",5,7890000006736,0,673,1
783,"TODDY ORIGINAL 200G UN",8,7894321711171,0,532,1
784,"TODDYNHO LEVINHO 200ML",2,7890000005340,0,534,1
785,"TODDYNHO TRADICIONAL 200ML",2,7890000005333,0,533,1
786,"TORRADA KG",24,7890000004053,1,405,1
787,"TORTA DE FRANGO - TABULEIRO",149,7890000908276,0,90827,1
788,"TORTA DE FRANGO PAO DE FORMA",6,7890000005784,0,578,1
789,"TORTA DE FRANGO PDC",7,7890000004473,0,447,1
790,"TORTA DE PAO DE FORMA PEDACO",5,7890000005234,0,523,1
791,"TORTA SALSICHA PEDACO",6,7890000004886,0,488,1
792,"TORTA SONHO DE VALSA",8,7890000003773,0,377,1
793,"TORTINHA DE LIMAO C/ CHANTININHO",7,7890000004541,0,454,1
794,"TORTINHA DE LIMAO C/ CHOCOLATE",7,7890000004534,0,453,1
795,"TORTUGUITA BAUNILHA",1,7898142865044,0,22,1
796,"TORTUGUITA BRIGADEIRO",1,7898142865082,0,21,1
797,"TORTUGUITA CHOCROCANTE",1,7898142865105,0,9,1
798,"TRIDENT CANELA",2,7895800304235,0,16,1
799,"TRIDENT FRESH HERBAL",2,7622210564313,0,29,1
800,"TRIDENT FRESH INTENSE",2,7622210564290,0,28,1
801,"TRIDENT HORTELA",2,7895800304211,0,26,1
802,"TRIDENT MELANCIA",2,7895800309780,0,25,1
803,"TRIDENT MENTA",2,7895800304228,0,27,1
804,"TRIDENT MORANGO",2,7895800201503,0,23,1
805,"TRIDENT TUTTI-FRUTTI",2,7895800430002,0,24,1
808,TRONCO,7,7890000908528,0,90852,1
809,"TRUFA DE LIMAO",2,7890000907606,0,90760,1
810,TRUFAS,2,7890000908665,0,90866,1
813,"WAFER AYMORE 105GR CHOCOLATE",4,7896058200300,0,545,1
814,"WAFER AYMORE 105GR MORANGO",4,7896058200317,0,544,1
815,XCAKE,7,7890000907507,0,90750,1
